"tract","population"
"010100","3827"
"010200","4220"
"010300","4346"
"010400","5265"
"010500","2606"
"010600","3664"
"010700","5311"
"010800","4779"
"010900","4740"
"011000","5303"
"011100","5078"
"011200","3078"
"011300","3058"
"011700","1547"
"011800","1740"
"011901","2543"
"011902","2625"
"012000","3563"
"012100","3876"
"012201","4576"
"012202","3079"
"012301","1790"
"012302","2518"
"012401","4613"
"012402","3393"
"012501","3547"
"012502","4120"
"012601","2499"
"012602","3101"
"012700","3758"
"012800","4908"
"012901","2588"
"012902","3444"
"013000","4548"
"013101","3791"
"013102","2692"
"013200","4695"
"013300","4482"
"013400","3968"
"013500","2592"
"015100","2106"
"015200","3865"
"015300","2066"
"015400","5927"
"015500","3918"
"015600","3015"
"015700","8373"
"015801","3738"
"015802","2837"
"015900","4081"
"016000","2552"
"016100","5085"
"016200","2604"
"016300","4748"
"016400","4135"
"016500","5787"
"016600","5537"
"016700","4960"
"016801","3329"
"016802","2957"
"016900","3021"
"017000","3857"
"017101","3557"
"017102","3862"
"017601","7220"
"017700","1654"
"017801","3066"
"017802","4307"
"017902","3083"
"018000","3232"
"020100","5257"
"020200","5962"
"020300","3042"
"020401","3090"
"020402","4128"
"020500","2646"
"020600","4607"
"020700","5427"
"020800","6182"
"020900","4723"
"021000","4556"
"021100","3993"
"021200","2842"
"021300","2626"
"021400","3459"
"021500","5129"
"021600","4335"
"021700","4079"
"021800","4238"
"022600","1866"
"022702","2297"
"022704","3314"
"022801","4988"
"022802","2220"
"022803","4930"
"022901","5024"
"022902","2460"
"022903","3097"
"023001","4835"
"023003","4369"
"023102","4870"
"023103","2934"
"023200","4319"
"023300","3367"
"023400","3699"
"025100","3402"
"025200","5957"
"025300","4718"
"025401","3351"
"025402","3287"
"025403","5125"
"025500","8696"
"025600","5578"
"025701","5116"
"025702","4831"
"025800","1994"
"025900","3996"
"026001","5448"
"026002","3549"
"026003","5097"
"026004","4658"
"026100","7047"
"026200","7867"
"026301","4672"
"026302","5295"
"026303","5365"
"026401","3802"
"026402","4155"
"026403","3833"
"026404","2476"
"030101","4728"
"030102","5229"
"030201","4184"
"030202","4296"
"030301","5648"
"030302","3936"
"030400","5411"
"030500","2825"
"030600","2353"
"030700","6905"
"030800","5646"
"030900","6619"
"031000","3744"
"031100","6602"
"031201","7169"
"031202","2982"
"031301","4363"
"031302","6301"
"031400","6578"
"032601","4766"
"032602","4540"
"032700","7130"
"032801","4111"
"032802","3986"
"032901","5582"
"032902","3995"
"033000","8770"
"033100","4677"
"033201","3702"
"033203","3931"
"033204","3736"
"035100","8031"
"035201","5439"
"035202","4551"
"035300","7885"
"035400","6330"
"040100","4346"
"040200","5045"
"042601","4111"
"042602","3487"
"042700","5370"
"042800","2357"
"045100","5053"
"045200","6896"
"047600","5586"
"047701","4016"
"047702","4221"
"047801","4001"
"047802","3952"
"047901","6571"
"047902","3669"
"060100","3451"
"060400","1854"
"060502","3184"
"060700","9804"
"061000","4474"
"061100","4488"
"061200","4023"
"061400","5625"
"061500","12391"
"980200","299"
"980300","45"
"980401","0"
"980501","850"
"980600","401"
"980900","246"
"990100","0"
