precinct,ballot_type,registered_voters,ballots_cast,turnout,KEITH_JUDD,MICHAEL_STEINBERG,BERNIE_SANDERS,WILLIE_WILSON,ROQUE_DE_LA_FUENTE,HILLARY_CLINTON,HENRY_HEWES,WRITE_IN,over_votes,under_votes
1101,Election_Day,297,76,25.59,,,40,,,35,,,,1
1101,VBM,297,134,45.12,,,68,3,,62,,,,1
1102,Election_Day,555,232,41.8,,,121,,,110,,,,1
1102,VBM,555,246,44.32,,,108,,,129,1,3,,5
1103,Election_Day,536,168,31.34,,,75,,,91,1,,,1
1103,VBM,536,252,47.01,,1,96,,1,144,,4,,6
1106,Election_Day,426,140,32.86,,,91,2,,44,,,,3
1106,VBM,426,186,43.66,,,72,,,106,2,,,6
1107,Election_Day,432,120,27.78,,,76,,,43,,,,1
1107,VBM,432,188,43.52,,,97,,,87,,1,1,2
1108,Election_Day,574,144,25.09,,,75,,,69,,,,
1108,VBM,574,283,49.3,,1,107,,,174,,,,1
1109,Election_Day,436,122,27.98,1,,60,,1,60,,,,
1109,VBM,436,199,45.64,,,99,,,95,1,,1,3
1111,Election_Day,490,128,26.12,,,64,,1,63,,,,
1111,VBM,490,204,41.63,,,100,1,,101,,,,2
1112,Election_Day,353,102,28.9,,,50,1,1,47,2,,,1
1112,VBM,353,162,45.89,,,70,,,91,,,,1
1113,Election_Day,314,80,25.48,,1,46,,,31,1,,,1
1113,VBM,314,146,46.5,,1,64,,2,77,,,1,1
1114,Election_Day,516,144,27.91,1,,63,,,73,1,1,,5
1114,VBM,516,207,40.12,,,84,1,2,116,1,3,,
1115,Election_Day,462,128,27.71,,,71,2,,54,,,,1
1115,VBM,462,221,47.84,,1,106,1,,106,,,1,6
1116,Election_Day,486,137,28.19,,,72,,,64,,,,1
1116,VBM,486,186,38.27,,,78,2,1,104,,1,,
1117,Election_Day,504,142,28.17,,,77,,,64,,,,1
1117,VBM,504,194,38.49,,1,72,,,116,,2,,3
1118,Election_Day,563,163,28.95,,,106,,2,52,1,,,2
1118,VBM,563,235,41.74,,,94,,1,137,,1,,2
1119,Election_Day,422,110,26.07,,,67,,,42,,,,1
1119,VBM,422,182,43.13,,,84,1,,90,,5,,2
1121,Election_Day,348,105,30.17,,,72,,,31,,1,,1
1121,VBM,348,150,43.1,,,69,,,77,,,,4
1122,Election_Day,280,95,33.93,,,44,,,47,,2,,2
1122,VBM,280,122,43.57,,1,58,,,57,,,,6
1123,Election_Day,491,134,27.29,,1,80,,1,50,,,1,1
1123,VBM,491,193,39.31,,1,84,1,1,106,,,,
1124,Election_Day,418,134,32.06,,2,74,,,57,,,,1
1124,VBM,418,144,34.45,,,59,,3,81,1,,,
1125,Election_Day,537,108,20.11,,,72,,,33,1,,,2
1125,VBM,537,220,40.97,,,73,,1,136,2,2,,6
1126,Election_Day,479,136,28.39,,1,59,,1,73,,,,2
1126,VBM,479,204,42.59,,,67,,,134,,,,3
1127,Election_Day,469,130,27.72,,,64,,,65,,,,1
1127,VBM,469,186,39.66,,,87,,,93,,,1,5
1128,Election_Day,413,99,23.97,,,53,,,46,,,,
1128,VBM,413,168,40.68,,,82,,,80,2,,,4
1129,Election_Day,453,118,26.05,,,62,,,53,,2,,1
1129,VBM,453,201,44.37,1,1,69,,,125,,2,,3
1131,Election_Day,418,100,23.92,,,55,,,45,,,,
1131,VBM,418,200,47.85,,,54,,,139,,,2,5
1132,Election_Day,458,128,27.95,,,61,,1,63,,2,,1
1132,VBM,458,239,52.18,,,89,,1,134,1,2,1,11
1133,Election_Day,483,112,23.19,,,57,,,54,,,,1
1133,VBM,483,218,45.13,,,105,1,,104,,,,8
1134,Election_Day,398,127,31.91,,1,67,,,55,1,,,3
1134,VBM,398,152,38.19,,1,62,,3,81,1,1,,3
1135,Election_Day,268,78,29.1,,,31,,,45,,2,,
1135,VBM,268,130,48.51,,,46,,,82,,1,,1
1136,Election_Day,423,87,20.57,,,53,,1,30,,1,,2
1136,VBM,423,216,51.06,,,79,1,1,130,1,1,,3
1141,Election_Day,542,135,24.91,,,78,,,57,,,,
1141,VBM,542,288,53.14,,1,132,2,,145,1,,1,6
1142,Election_Day,433,131,30.25,,,68,,,63,,,,
1142,VBM,433,186,42.96,,1,94,,,88,,,1,2
1143,Election_Day,550,195,35.45,,,118,,,76,,1,,
1143,VBM,550,242,44,,4,98,,,130,,2,2,6
1144,Election_Day,502,158,31.47,,,84,,,72,,1,,1
1144,VBM,502,212,42.23,,,109,,,102,,1,,
1145,Election_Day,544,157,28.86,,,94,,,62,,,,1
1145,VBM,544,288,52.94,,,116,,,164,2,1,,5
1146,Election_Day,487,140,28.75,,1,79,,,59,,,,1
1146,VBM,487,252,51.75,,,105,1,,142,,2,,2
1147,Election_Day,487,153,31.42,,,86,,,65,,,,2
1147,VBM,487,219,44.97,,,108,,,108,,,,3
1148,Election_Day,486,141,29.01,,,77,,1,62,,,,1
1148,VBM,486,196,40.33,,,97,1,1,94,,1,,2
1149,Election_Day,519,174,33.53,,,107,,,66,,1,,
1149,VBM,519,212,40.85,,,91,1,,115,1,,1,3
1151,Election_Day,0,0,0,,,,,,,,,,
1151,VBM,0,0,0,,,,,,,,,,
1152,Election_Day,442,143,32.35,,,80,,,58,,,1,4
1152,VBM,442,191,43.21,,1,63,3,,120,2,,1,1
1153,Election_Day,483,136,28.16,,,80,,,53,,,,3
1153,VBM,483,198,40.99,1,,97,,,92,3,,1,4
1154,Election_Day,0,0,0,,,,,,,,,,
1154,VBM,0,0,0,,,,,,,,,,
7001,Election_Day,391,132,33.76,,,67,,1,62,,,,2
7001,VBM,391,185,47.31,,,81,,,103,,1,,
7002,Election_Day,530,166,31.32,,,98,,,68,,,,
7002,VBM,530,246,46.42,,,98,,,144,1,,,3
7003,Election_Day,529,200,37.81,,,106,,,94,,,,
7003,VBM,529,291,55.01,,,126,,,161,,,,4
7004,Election_Day,524,183,34.92,,,84,,,98,,,,1
7004,VBM,524,262,50,,,100,,,159,,1,1,1
7005,Election_Day,520,223,42.88,,,89,,1,129,1,1,,2
7005,VBM,520,224,43.08,,,89,,,134,,,,1
7006,Election_Day,548,220,40.15,,,158,,,61,,1,,
7006,VBM,548,253,46.17,,,138,,,109,,1,,5
7007,Election_Day,604,261,43.21,,,140,,,120,,1,,
7007,VBM,604,290,48.01,,1,114,,,174,,,,1
7008,Election_Day,519,197,37.96,,,81,,1,115,,,,
7008,VBM,519,299,57.61,,,97,,1,200,,,,1
7009,Election_Day,550,159,28.91,,,99,,,59,,,,1
7009,VBM,550,268,48.73,,,124,,,141,,1,,2
7011,Election_Day,671,163,24.29,,1,87,,,71,,1,1,2
7011,VBM,671,184,27.42,,,70,,,112,1,,,1
7012,Election_Day,639,230,35.99,,,110,,,119,,,,1
7012,VBM,639,301,47.1,,,123,,,172,,2,,4
7013,Election_Day,408,116,28.43,,,58,,1,57,,,,
7013,VBM,408,221,54.17,,,94,,,125,,,,2
7014,Election_Day,588,234,39.8,,,105,,,125,1,,,3
7014,VBM,588,294,50,,,123,,,170,,,,1
7015,Election_Day,52,2,3.85,,,2,,,,,,,
7015,VBM,52,34,65.38,,,25,1,,8,,,,
7016,Election_Day,527,114,21.63,,,70,,,44,,,,
7016,VBM,527,159,30.17,,,58,,,96,,1,,4
7017,Election_Day,501,78,15.57,,,39,1,,36,,,1,1
7017,VBM,501,125,24.95,,,41,,1,81,,,1,1
7018,Election_Day,499,96,19.24,,,56,,,39,,,,1
7018,VBM,499,221,44.29,,1,83,,,132,1,,1,3
7019,Election_Day,563,130,23.09,1,,60,,,69,,,,
7019,VBM,563,251,44.58,,,88,,,160,,1,,2
7021,Election_Day,599,139,23.21,,,76,,1,56,1,2,,3
7021,VBM,599,180,30.05,,,69,1,,105,,1,,4
7022,Election_Day,636,154,24.21,,,79,,,75,,,,
7022,VBM,636,206,32.39,,,81,,2,122,,,,1
7023,Election_Day,619,130,21,,,64,1,1,64,,,,
7023,VBM,619,216,34.89,,,75,,,133,1,,,7
7024,Election_Day,187,17,9.09,,,6,,,11,,,,
7024,VBM,187,20,10.7,,,5,,,15,,,,
7025,Election_Day,300,57,19,,,32,,,23,1,,,1
7025,VBM,300,79,26.33,,,37,,,41,,,,1
7026,Election_Day,488,102,20.9,,1,53,,,45,,,,3
7026,VBM,488,227,46.52,,,75,1,,147,,,,4
7027,Election_Day,513,133,25.93,,,65,,1,66,,,,1
7027,VBM,513,183,35.67,,1,64,1,,116,,,,1
7028,Election_Day,574,140,24.39,,,63,,1,76,,,,
7028,VBM,574,147,25.61,1,,62,,,82,1,,1,
7029,Election_Day,604,102,16.89,,,39,1,,61,,1,,
7029,VBM,604,139,23.01,,,51,2,,85,,,,1
7030,Election_Day,345,67,19.42,,,34,,,33,,,,
7030,VBM,345,160,46.38,,1,55,1,,94,1,2,,6
7031,Election_Day,210,36,17.14,,,18,,,18,,,,
7031,VBM,210,118,56.19,,1,44,,,70,1,2,,
7032,Election_Day,566,124,21.91,,,58,,,66,,,,
7032,VBM,566,185,32.69,,,72,,,110,,,,3
7033,Election_Day,526,138,26.24,,,72,,1,63,1,,,1
7033,VBM,526,133,25.29,,,54,,,79,,,,
7034,Election_Day,586,90,15.36,,,35,1,,51,1,,,2
7034,VBM,586,127,21.67,,,43,,,82,,,1,1
7035,Election_Day,251,68,27.09,,,30,1,,36,,1,,
7035,VBM,251,95,37.85,,,23,,,70,,1,,1
7036,Election_Day,464,81,17.46,,,47,1,,33,,,,
7036,VBM,464,166,35.78,,,41,,,118,,1,1,5
7037,Election_Day,461,80,17.35,,,33,,,44,,,,3
7037,VBM,461,52,11.28,,,17,2,1,31,,1,,
7038,Election_Day,456,81,17.76,,,33,,,48,,,,
7038,VBM,456,171,37.5,1,,64,2,,100,1,,1,2
7039,Election_Day,441,151,34.24,,1,80,,,70,,,,
7039,VBM,441,146,33.11,,1,49,,,92,,,,4
7041,Election_Day,30,3,10,,,3,,,,,,,
7041,VBM,30,13,43.33,,,5,,,8,,,,
7042,Election_Day,362,88,24.31,,,47,,,39,,,,2
7042,VBM,362,160,44.2,,,64,,,91,,,,5
7043,Election_Day,524,96,18.32,,,57,,,39,,,,
7043,VBM,524,204,38.93,,,73,1,1,126,,,,3
7044,Election_Day,496,81,16.33,,,34,,,44,,,1,2
7044,VBM,496,80,16.13,,,32,,,48,,,,
7045,Election_Day,378,81,21.43,,,49,1,,29,1,,,1
7045,VBM,378,165,43.65,,,58,,,101,2,,,4
7046,Election_Day,244,58,23.77,,,31,,,27,,,,
7046,VBM,244,111,45.49,,,42,1,,64,2,,,2
7047,Election_Day,426,84,19.72,,,48,1,,33,1,,,1
7047,VBM,426,202,47.42,,2,72,,1,126,,,,1
7048,Election_Day,466,95,20.39,,,39,1,,54,,,,1
7048,VBM,466,149,31.97,,,35,,,107,3,,2,2
7049,Election_Day,371,94,25.34,,,38,1,,54,,,,1
